Customer Id,Customer Fname,Customer Lname,Customer Segment,Customer Country,Customer State,Customer Zipcode
20755,Cally,Holloway,Consumer,Puerto Rico,PR,725.0
19492,Irene,Luna,Consumer,Puerto Rico,PR,725.0
19491,Gillian,Maldonado,Consumer,EE. UU.,CA,95125.0
19490,Tana,Tate,Home Office,EE. UU.,CA,90027.0
19489,Orli,Hendricks,Corporate,Puerto Rico,PR,725.0
19488,Kimberly,Flowers,Consumer,EE. UU.,NY,14150.0
19487,Constance,Terrell,Home Office,Puerto Rico,PR,725.0
19486,Erica,Stevens,Corporate,EE. UU.,FL,33162.0
19485,Nichole,Olsen,Corporate,Puerto Rico,PR,725.0
19484,Oprah,Delacruz,Corporate,EE. UU.,CA,94583.0
19483,Germane,Short,Corporate,Puerto Rico,PR,725.0
19482,Freya,Robbins,Consumer,EE. UU.,NY,11520.0
19481,Cassandra,Jensen,Corporate,EE. UU.,CA,93905.0
19480,Natalie,Mcfadden,Corporate,Puerto Rico,PR,725.0
19479,Kimberley,Sharpe,Corporate,EE. UU.,MA,1960.0
19478,Sade,Lancaster,Corporate,Puerto Rico,PR,725.0
19477,Brynne,Giles,Corporate,Puerto Rico,PR,729.0
19476,Ciara,Bird,Corporate,EE. UU.,CA,90723.0
19475,Bo,Griffin,Consumer,Puerto Rico,PR,725.0
19474,Kim,Simon,Consumer,EE. UU.,IL,60056.0
19473,Kellie,Farmer,Corporate,EE. UU.,CA,90813.0
19472,Alma,Conley,Corporate,Puerto Rico,PR,725.0
19471,Yeo,Bird,Corporate,EE. UU.,CA,95670.0
19470,Lucy,Mcknight,Corporate,Puerto Rico,PR,725.0
19469,Simone,Vance,Corporate,EE. UU.,MT,59102.0
19468,Roary,Wheeler,Corporate,Puerto Rico,PR,725.0
19467,Quail,Ashley,Consumer,EE. UU.,PA,18702.0
19466,Hannah,Velez,Corporate,Puerto Rico,PR,725.0
19465,Evelyn,Kelly,Corporate,EE. UU.,MI,48066.0
19464,Jael,Mcfarland,Consumer,EE. UU.,CA,90706.0
19463,Teagan,Romero,Consumer,Puerto Rico,PR,725.0
19462,Joan,Wilder,Consumer,EE. UU.,IL,60187.0
19461,Basia,Watts,Consumer,Puerto Rico,PR,725.0
19460,Dominique,Rogers,Consumer,EE. UU.,MI,48238.0
19459,Ainsley,Mathis,Consumer,EE. UU.,TX,75220.0
19458,Aurora,Sharp,Corporate,Puerto Rico,PR,725.0
19457,Libby,Bray,Corporate,EE. UU.,PA,17013.0
19456,Amy,Lindsay,Corporate,EE. UU.,TX,75228.0
